index,Станок,Группа,Тип,Мощность,КПД,Точность,Автоматизация,Специализация,Масса,Классификация_по_массе,Длина,Ширина,Высота,Габаритный_диаметр,Город,Производитель,Тип_станка
156,1Е812,1.0,8.0,4.0,0.75,Н,Ручной,Универсальный,4285.0,Средний,2900,1850,1900,Ø 240,Куйбышев (Самара),None,Затыловочный универсальный
157,1Е95,1.0,9.0,5.5,0.75,Н,Ручной,Универсальный,2475.0,Средний,3000,1200,1640,Ø 420,Новосибирск,None,Токарно-винторезный комбинированный
158,1И125П,1.0,1.0,11.0,0.75,П,Автомат,Универсальный,3000.0,Средний,2180,1180,1700,Ø 40,Хабаровск,None,Токарно-револьверный одношпиндельный прутковый автомат
159,1И140П,1.0,1.0,11.0,0.75,П,Автомат,Универсальный,3000.0,Средний,2180,1180,1700,Ø 40,Хабаровск,None,Токарно-револьверный одношпиндельный прутковый автомат
160,1И611П,1.0,6.0,3.0,0.75,П,Ручной,Универсальный,1120.0,Средний,1770,970,1300,Ø 250,Ижевск,None,Токарно-винторезный повышенной точности универсальный
161,1И611ПМФ3,1.0,6.0,3.0,0.75,П,Ручной,Универсальный,1400.0,Средний,1790,810,1400,Ø 250,Ижевск,None,Токарный с ЧПУ
162,1ИС611В,1.0,6.0,3.0,0.75,В,Ручной,Универсальный,1200.0,Средний,1880,830,1339,Ø 250,Ижевск,None,Токарно-винторезный высокой точности универсальный
163,1К282,1.0,2.0,22.0,0.75,Н,Полуавтомат,Универсальный,19000.0,Тяжёлый,3070,2945,3872,Ø 250,Москва,None,Токарный восьмишпиндельный вертикальный полуавтомат
164,1К341,1.0,3.0,5.5,0.75,Н,Ручной,Универсальный,2400.0,Средний,2200,1200,1380,Ø 400,Бердичев,None,Токарно-револьверный повышенной точности
165,1К62,1.0,6.0,10.0,0.75,Н,Ручной,Универсальный,2140.0,Средний,2812,1166,1324,Ø 400,Москва,None,Токарно-винторезный универсальный
166,1К620,1.0,6.0,10.0,0.75,Н,Ручной,Универсальный,2140.0,Средний,2812,1166,1324,Ø 400,Москва,None,Токарно-винторезный универсальный
167,1К625,1.0,6.0,10.0,0.75,Н,Ручной,Универсальный,2410.0,Средний,3212,1216,1349,Ø 400,Москва,None,Токарно-винторезный повышенной точности универсальный
168,1К625Д,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,3120.0,Средний,3212,1216,1349,Ø 435,Челябинск,None,Токарно-винторезный универсальный
169,1К625ДГ,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,3120.0,Средний,3212,1216,1349,Ø 435,Челябинск,None,Токарно-винторезный универсальный
170,1К62Б,1.0,6.0,10.0,0.75,П,Ручной,Универсальный,2140.0,Средний,2812,1166,1324,Ø 400,Москва,None,Токарно-винторезный повышенной точности универсальный
171,1К62Д,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,3080.0,Средний,3212,1216,1349,Ø 435,Челябинск,None,Токарно-винторезный универсальный
172,1К62ДГ,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,3080.0,Средний,3212,1216,1349,Ø 435,Челябинск,None,Токарно-винторезный универсальный
173,1К660Ф3,1.0,6.0,50.0,0.75,Н,Ручной,Универсальный,46700.0,Тяжёлый,12728,3285,2245,Ø 1250,Краматорск,None,Токарно-винторезный тяжелый
174,1Л532,1.0,5.0,55.0,0.75,Н,Ручной,Универсальный,43000.0,Тяжёлый,5485,6120,4910,Ø 3150,Краснодар,None,Токарно-карусельный двухстоечный универсальный
175,1Л61,1.0,6.0,2.8,0.75,Н,Ручной,Универсальный,1100.0,Средний,1880,850,1450,Ø 320,Ереван,None,Токарно-винторезный универсальный
176,1М10ДА,1.0,1.0,3.0,0.75,А,Автомат,Универсальный,880.0,Лёгкий,1460,870,1450,Ø 16,Ленинград,ЛЗСА,Токарный продольного точения автомат
177,1М365,1.0,3.0,15.0,0.75,Н,Ручной,Универсальный,4150.0,Средний,3430,1500,1739,Ø 500,Алапаевск,None,Токарно-револьверный универсальный
178,1М425,1.0,4.0,13.0,0.75,Н,Полуавтомат,Универсальный,5250.0,Средний,2157,2500,2200,Ø 250 х 175,Алапаевск,None,Токарно-револьверный полуавтомат
179,1М557,1.0,5.0,40.0,0.75,Н,Ручной,Универсальный,43000.0,Тяжёлый,5965,6265,4900,Ø 3200 х 1600,Краснодар,None,Токарно-карусельный двухстоечный
180,1М61,1.0,6.0,4.0,0.75,Н,Ручной,Универсальный,1260.0,Средний,2055,1095,1450,Ø 320,Ереван,None,Токарно-винторезный универсальный
181,1М61П,1.0,6.0,4.0,0.75,П,Ручной,Универсальный,1260.0,Средний,2055,1095,1450,Ø 320,Ереван,None,Токарно-винторезный универсальный
182,1М63,1.0,6.0,13.0,0.75,Н,Ручной,Универсальный,4300.0,Средний,3530,1680,1290,Ø 630,Рязань,None,Токарно-винторезный универсальный
183,1М63Б,1.0,6.0,15.0,0.75,Н,Ручной,Универсальный,5620.0,Средний,4950,1780,1490,Ø 630,Рязань,None,Токарно-винторезный универсальный
184,1М63БФ101,1.0,6.0,15.0,0.75,Н,Ручной,Универсальный,5620.0,Средний,4950,1780,1550,Ø 630,Рязань,None,Токарно-винторезный с УЦИ
185,1М63Д,1.0,6.0,18.5,0.75,Н,Ручной,Универсальный,4750.0,Средний,3810,1780,1490,Ø 630,Тбилиси,None,Токарно-винторезный универсальный
186,1М63М,1.0,6.0,18.5,0.75,Н,Ручной,Универсальный,4400.0,Средний,1590,3655,1420,Ø 630,Рязань,None,Токарно-винторезный универсальный
187,1М63МФ101,1.0,6.0,18.5,0.75,Н,Ручной,Универсальный,4400.0,Средний,3655,1590,1420,Ø 630,Рязань,None,Токарно-винторезный с УЦИ
188,1М63Н,1.0,6.0,15.0,0.75,Н/П,Ручной,Универсальный,5750.0,Средний,5240,1780,1550,Ø 630,Рязань,None,Токарно-винторезный универсальный
189,1М63Ф101,1.0,6.0,13.0,0.75,Н,Ручной,Универсальный,4300.0,Средний,3530,1680,1290,Ø 630,Рязань,None,Токарно-винторезный с УЦИ
190,1М64,1.0,6.0,18.5,0.75,Н,Ручной,Универсальный,11400.0,Тяжёлый,1295,2785,1500,Ø 800,Рязань,None,Токарно-винторезный универсальный
191,1М65,1.0,6.0,22.0,0.75,"Н, П",Ручной,Универсальный,12800.0,Тяжёлый,6140,2200,1760,Ø 1000,Рязань,None,Токарно-винторезный универсальный
192,1М660,1.0,6.0,110.0,0.75,Н,Ручной,Универсальный,46000.0,Тяжёлый,13000,3000,2120,Ø 1250,Краматорск,None,Токарно-винторезный тяжелый
193,1М95,1.0,9.0,4.0,0.75,Н,Ручной,Универсальный,2170.0,Средний,2750,1255,1670,Ø 420,Новосибирск,None,Токарно-винторезный комбинированный
194,1М983,1.0,9.0,16.0,0.75,Н,Ручной,Универсальный,9100.0,Средний,3600,1910,1565,Ø 299,Саста,None,Трубонарезной универсальный
195,1Н318,1.0,3.0,2.6,0.75,Н,Ручной,Универсальный,1080.0,Средний,2990,835,1555,Ø 18,Новочеркасск,None,Токарно-револьверный
196,1Н325,1.0,3.0,2.6,0.75,Н,Ручной,Универсальный,1300.0,Средний,3915,925,1555,Ø 25,Новочеркасск,None,Токарно-револьверный прутковый
197,1Н65,1.0,6.0,22.0,0.75,"Н, П",Ручной,Универсальный,12800.0,Тяжёлый,6140,2200,1770,Ø 1000,Рязань,None,Токарно-винторезный универсальный
198,1Н713,1.0,7.0,17.0,0.75,Н,Ручной,Универсальный,4700.0,Средний,2435,1250,1985,Ø 400,Новосибирск,None,Токарный многорезцовый копировальный
199,1Н713П,1.0,7.0,18.5,0.75,П,Ручной,Универсальный,4700.0,Средний,2435,1250,1985,Ø 400,Новосибирск,None,Токарный многорезцовый копировальный
200,1Н983,1.0,9.0,14.5,0.75,Н,Ручной,Универсальный,9050.0,Средний,3930,1860,1525,Ø 299,Саста,None,Трубонарезной универсальный
201,1П318,1.0,3.0,2.8,0.75,Н,Ручной,Универсальный,1100.0,Средний,2990,835,1555,Ø 25 х 140,Алапаевск,None,Токарно-револьверный универсальный
202,1П326,1.0,3.0,2.6,0.75,Н,Ручной,Универсальный,1080.0,Средний,2990,835,1555,Ø 25 х 140,Алапаевск,None,Токарно-револьверный универсальный
203,1П365,1.0,3.0,13.0,0.75,Н,Ручной,Универсальный,3900.0,Средний,3430,1500,1655,Ø 500,Алапаевск,None,Токарно-револьверный универсальный
204,1П371,1.0,3.0,22.0,0.75,Н,Ручной,Универсальный,6300.0,Средний,4230,1850,1680,Ø 500,Алапаевск,None,Токарно-револьверный универсальный
205,1П420ПФ40,1.0,4.0,30.0,0.75,П,Ручной,Универсальный,5900.0,Средний,3470,2260,2300,Ø 450,Бердичев,None,Токарно-револьверный прутковый с ЧПУ
206,1П426ДФ3,1.0,4.0,18.5,0.75,П,Ручной,Универсальный,8660.0,Средний,3525,1570,2655,Ø 450,Бердичев,None,Токарно-револьверный прутковый с ЧПУ
207,1П611,1.0,6.0,1.5,0.75,П,Ручной,Универсальный,560.0,Лёгкий,1510,700,1360,Ø 250,Куйбышев (Самара),Одесса,Токарно-винторезный повышенной точности универсальный
208,1П732РФ3,1.0,7.0,37.0,0.75,Н,Ручной,Универсальный,10500.0,Тяжёлый,3825,2320,2800,Ø 630,Москва,ЗИО,Токарный с ЧПУ
209,1П756ДФ3,1.0,7.0,30.0,0.75,П,Полуавтомат,Универсальный,9000.0,Средний,3200,2740,2600,Ø 630,Рязань,None,Токарный патронный с ЧПУполуавтомат
210,1У61,1.0,6.0,3.0,0.75,Н,Ручной,Универсальный,900.0,Лёгкий,1800,1100,1350,Ø 320,Уфа,None,Токарно-винторезный универсальный
211,1У61М,1.0,6.0,3.0,0.75,Н,Ручной,Универсальный,900.0,Лёгкий,1800,750,1350,Ø 320,Уфа,None,Токарно-винторезный универсальный
212,2056,2.0,0.0,1.3,0.75,Н,Полуавтомат,Универсальный,480.0,Лёгкий,870,650,2225,М18,Молодечно,None,Резьбонарезной полуавтомат
